month,day,year,day_of_year,date,zone,type_of_site,visit site number,site,Latitude,Longitude,Elevation,Net_open,Net_close,Rain_time,Net_no,Temperature,Wind,Cloud,Bander_ID,Species,Band,Sex,Plumage,Estado reproductivo,Beak_length,Beak_depth,Beak_width,Tarsus,Wing,Mass,Pox_IUR,Pox_scale,Pox_size_lesion,Fecal,Narina,Slide,Swab,Blood,Plasma,Recaptured,Notes,Color band,territory,Hemoglobin,HEMATOCRIT,Exportar_sangre,Exportar_swab,check_number
10,18,2023,291,18-Oct-23,Puerto Ayora,arida,58,Barranco,-0.73862,-90.3017,0,6:31,8:30,0:00,2,,,,YT,CRA,SM2419,M,5,0,12.1,11.9,7.2,24.5,80,30.19,U,NA,NA,0,B,1,1,1,1,,,,,,,,,
10,18,2023,291,18-Oct-23,Puerto Ayora,arida,58,Barranco,-0.73862,-90.3017,0,6:31,8:30,0:00,2,,,,YT,FOR,SM2420,U,0,0,12.2,11.7,8,18.9,68,20.24,U,NA,NA,0,A,0,0,1,1,,,,,,,,,
10,18,2023,291,18-Oct-23,Puerto Ayora,arida,58,Barranco,-0.73862,-90.3017,0,6:31,8:30,0:00,2,,,,DL,FUL,SM003,M,5,0,7.9,6.7,4.7,17.7,64,13.83,R,NA,NA,0,0,0,1,1,1,1,MENOS 1 DEDO,,,,,,,
10,18,2023,291,18-Oct-23,Puerto Ayora,arida,58,Barranco,-0.73862,-90.3017,0,6:31,8:30,0:00,2,,,,DL,CRA,SM2421,M,4,0,9.7,11.1,8,27.1,82,31.61,R,NA,NA,0,A,0,0,0,0,,,,,,,,,
10,18,2023,291,18-Oct-23,Puerto Ayora,arida,58,Barranco,-0.73862,-90.3017,0,6:31,8:30,0:00,2,,,,DL,FUL,SMA1723,U,0,0,7.7,6.6,4.1,17.4,60,13.29,U,NA,NA,0,B,0,0,0,0,,,,,,,,,
10,18,2023,291,18-Oct-23,Puerto Ayora,arida,58,Barranco,-0.73862,-90.3017,0,6:31,8:30,0:00,2,,,,DL,FOR,SM2422,U,0,0,10.1,9.9,6.4,19.5,68,18.82,U,NA,NA,0,B,0,0,0,0,,,,,,,,,
10,18,2023,291,18-Oct-23,Puerto Ayora,arida,58,Barranco,-0.73862,-90.3017,0,6:31,8:30,0:00,2,,,,DL,MYI,LF6163,U,0,0,8.1,NA,NA,19.1,62,11.53,U,NA,NA,0,A,0,0,0,0,,,,,,,,,
10,18,2023,291,18-Oct-23,Puerto Ayora,arida,58,Barranco,-0.73862,-90.3017,0,6:31,8:30,0:00,2,,,,DL,FOR,SM2423,M,5,0,13.5,11.9,8.9,20.8,75,26.37,U,NA,NA,0,B,1,0,1,0,,,,,,,,,
10,18,2023,291,18-Oct-23,Puerto Ayora,arida,58,Barranco,-0.73862,-90.3017,0,6:31,8:30,0:00,2,,,,DL,FUL,RHC476,M,5,0,7.5,7,4.7,18.9,60,13.36,U,NA,NA,0,A,1,1,1,0,,,,,,,,,
10,18,2023,291,18-Oct-23,Puerto Ayora,arida,58,Barranco,-0.73862,-90.3017,0,6:31,8:30,0:00,2,,,,DL,FOR,SM2424,M,2,0,11.9,9.7,6.4,21.4,70,19.73,U,NA,NA,0,B,0,0,0,0,,,,,,,,,
